"District","Incumbent","Party","Biden","Trump","Margin"
"MI-07","Elissa Slotkin","(D)","49.4","48.9","0.5"
"MI-08","Dan Kildee","(D)","50.3","48.2","2.0"
"MI-09","Lisa McClain","(R)","34.6","64.0","-29.5"
"MI-10","John James","(R)","48.8","49.8","-1.0"
"MI-11","Haley Stevens","(D)","59.3","39.4","19.8"
"MI-12","Rashida Tlaib","(D)","73.7","25.2","48.5"
"MI-13","Shri Thanedar","(D)","74.2","24.6","49.6"
"MN-01","Brad Finstad","(R)","44.3","53.5","-9.2"
"MN-02","Angie Craig","(D)","52.5","45.4","7.2"
"MN-03","Dean Phillips","(D)","59.5","38.5","21.0"
"MN-04","Betty McCollum","(D)","67.8","30.2","37.6"
"MN-05","Ilhan Omar","(D)","80.6","17.4","63.1"
"MN-06","Tom Emmer","(R)","40.1","57.7","-17.6"
"MN-07","Michelle Fischbach","(R)","32.5","65.7","-33.2"
"MN-08","Pete Stauber","(R)","43.4","54.7","-11.3"
"MO-01","Cori Bush","(D)","78.4","20.0","58.4"
"MO-02","Ann Wagner","(R)","45.3","53.0","-7.8"
"MO-03","Blaine Luetkemeyer","(R)","35.9","62.2","-26.3"
"MO-04","Mark Alford","(R)","29.3","68.7","-39.3"
"MO-05","Emanuel Cleaver","(D)","62.2","35.9","26.3"
"MO-06","Sam Graves","(R)","30.6","67.7","-37.1"
"MO-07","Eric Burlison","(R)","28.4","69.8","-41.4"
"MO-08","Jason Smith","(R)","23.6","75.0","-51.3"
"MS-01","Trent Kelly","(R)","33.4","65.1","-31.7"
"MS-02","Bennie Thompson","(D)","62.5","36.4","26.1"
"MS-03","Michael Guest","(R)","37.2","61.5","-24.3"
"MS-04","Mike Ezell","(R)","30.3","68.2","-38.0"
"MT-01","Ryan Zinke","(R)","45.3","52.2","-6.9"
"MT-02","Matt Rosendale","(R)","35.3","62.2","-26.8"
"NC-01","Don Davis","(D)","53.2","45.9","7.3"
"NC-02","Deborah Ross","(D)","63.6","34.8","28.8"
"NC-03","Greg Murphy","(R)","36.7","62.0","-25.4"
"NC-04","Valerie Foushee","(D)","66.9","31.9","35.1"
"NC-05","Virginia Foxx","(R)","38.8","60.1","-21.3"
"NC-06","Kathy Manning","(D)","55.6","43.2","12.4"
"NC-07","David Rouzer","(R)","43.1","55.8","-12.7"
"NC-08","Dan Bishop","(R)","32.4","66.5","-34.1"
"NC-09","Richard Hudson","(R)","45.3","53.3","-8.0"
