Calculated by The Downballot,,,Subscribe to our newsletter,,,,,,,Follow @the-downballot.com on Bluesky,,,,,
District,Incumbent,Party,2024,,,,,,,2020,,,,,
,,,Harris,Trump,Total,Harris %,Trump %,Margin,,Biden,Trump,Total,Biden %,Trump %,Margin
MI-05,Tim Walberg,(R),"151,092","265,192","422,272",35.78%,62.80%,-27.02%,,"150,368","248,430","405,836",37.05%,61.21%,-24.16%
MI-06,Debbie Dingell,(D),"280,089","171,949","464,014",60.36%,37.06%,23.31%,,"286,146","164,381","456,503",62.68%,36.01%,26.67%
MI-07,Tom Barrett,(R),"224,740","230,678","462,734",48.57%,49.85%,-1.28%,,"219,465","217,141","444,296",49.40%,48.87%,0.52%
MI-08,Kristen McDonald Rivet,(D),"209,502","218,093","433,716",48.30%,50.28%,-1.98%,,"215,710","207,003","429,213",50.26%,48.23%,2.03%
MI-09,Lisa McClain,(R),"161,552","319,082","487,198",33.16%,65.49%,-32.33%,,"160,590","297,475","464,737",34.56%,64.01%,-29.45%
MI-10,John James,(R),"199,324","227,882","436,216",45.69%,52.24%,-6.55%,,"209,969","214,177","429,829",48.85%,49.83%,-0.98%
MI-11,Haley Stevens,(D),"262,389","188,361","460,276",57.01%,40.92%,16.08%,,"273,915","182,229","462,280",59.25%,39.42%,19.83%
MI-12,Rashida Tlaib,(D),"249,017","106,983","374,126",66.56%,28.60%,37.96%,,"285,642","97,508","387,609",73.69%,25.16%,48.54%
MI-13,Shri Thanedar,(D),"231,273","94,471","333,169",69.42%,28.36%,41.06%,,"252,697","83,907","340,610",74.19%,24.63%,49.56%
MN-01,Brad Finstad,(R),"167,186","213,794","388,291",43.06%,55.06%,-12.00%,,"172,285","208,058","388,718",44.32%,53.52%,-9.20%
MN-02,Angie Craig,(D),"220,555","195,780","424,818",51.92%,46.09%,5.83%,,"221,003","190,819","420,650",52.54%,45.36%,7.18%
MN-03,Kelly Morrison,(D),"251,783","161,925","422,632",59.57%,38.31%,21.26%,,"258,543","167,402","434,448",59.51%,38.53%,20.98%
MN-04,Betty McCollum,(D),"251,495","117,085","376,783",66.75%,31.07%,35.67%,,"268,967","119,722","396,499",67.84%,30.19%,37.64%
MN-05,Ilhan Omar,(D),"292,800","65,271","367,777",79.61%,17.75%,61.87%,,"319,407","69,135","396,493",80.56%,17.44%,63.12%
MN-06,Tom Emmer,(R),"168,603","253,253","430,366",39.18%,58.85%,-19.67%,,"165,862","238,872","413,782",40.08%,57.73%,-17.64%
MN-07,Michelle Fischbach,(R),"123,652","269,504","399,799",30.93%,67.41%,-36.48%,,"128,550","260,007","395,801",32.48%,65.69%,-33.21%
MN-08,Pete Stauber,(R),"180,905","242,420","430,450",42.03%,56.32%,-14.29%,,"182,461","230,050","420,814",43.36%,54.67%,-11.31%
MO-01,Wesley Bell,(D),"244,275","64,567","314,220",77.74%,20.55%,57.19%,,"278,269","71,037","355,000",78.39%,20.01%,58.38%
MO-02,Ann Wagner,(R),"196,255","230,556","433,971",45.22%,53.13%,-7.90%,,"198,823","232,845","438,960",45.29%,53.04%,-7.75%
MO-03,Bob Onder,(R),"146,055","254,638","406,388",35.94%,62.66%,-26.72%,,"142,584","247,108","397,210",35.90%,62.21%,-26.31%
MO-04,Mark Alford,(R),"106,163","265,110","375,940",28.24%,70.52%,-42.28%,,"109,920","257,315","374,598",29.34%,68.69%,-39.35%
MO-05,Emanuel Cleaver,(D),"205,020","126,971","337,623",60.72%,37.61%,23.12%,,"217,895","125,686","350,584",62.15%,35.85%,26.30%
MO-06,Sam Graves,(R),"114,818","263,613","382,953",29.98%,68.84%,-38.85%,,"115,548","255,727","377,863",30.58%,67.68%,-37.10%
MO-07,Eric Burlison,(R),"105,495","265,470","375,382",28.10%,70.72%,-42.62%,,"103,423","254,241","364,374",28.38%,69.77%,-41.39%
MO-08,Jason Smith,(R),"82,518","281,060","367,119",22.48%,76.56%,-54.08%,,"86,552","274,779","366,570",23.61%,74.96%,-51.35%
MS-01,Trent Kelly,(R),"99,872","219,885","324,057",30.82%,67.85%,-37.03%,,"111,535","217,291","333,728",33.42%,65.11%,-31.69%
MS-02,Bennie Thompson,(D),"170,917","112,590","286,455",59.67%,39.30%,20.36%,,"208,159","121,206","333,247",62.46%,36.37%,26.09%
MS-03,Michael Guest,(R),"113,023","207,443","323,626",34.92%,64.10%,-29.18%,,"128,386","212,321","345,011",37.21%,61.54%,-24.33%
MS-04,Mike Ezell,(R),"82,856","207,826","293,870",28.19%,70.72%,-42.53%,,"91,318","205,946","301,772",30.26%,68.25%,-37.98%
MT-01,Ryan Zinke,(R),"137,405","174,604","322,059",42.66%,54.21%,-11.55%,,"143,417","165,189","316,603",45.30%,52.18%,-6.88%
MT-02,Troy Downing,(R),"94,501","177,475","280,904",33.64%,63.18%,-29.54%,,"101,369","178,413","287,037",35.32%,62.16%,-26.84%
NC-01,Don Davis,(D),"182,919","194,701","380,609",48.06%,51.16%,-3.10%,,"195,535","189,037","387,749",50.43%,48.75%,1.68%
NC-02,Deborah Ross,(D),"271,376","132,352","410,662",66.08%,32.23%,33.85%,,"274,375","129,374","410,264",66.88%,31.53%,35.34%
NC-03,Greg Murphy,(R),"147,424","230,887","381,786",38.61%,60.48%,-21.86%,,"148,669","211,944","365,705",40.65%,57.95%,-17.30%
